ingredient,carb,fat,cal
bacon,0.6,12,161
baking powder,1.3,0,2.4
baking soda,0,0,0
beef,0,14,220
bun,22,1.7,122
butter,0,12,102
buttermilk,12,2.2,98
cheese,0.9,9.3,113
cilantro,0.1,0,0.9
clove,1.4,0.3,5.8
cocoa,3,0.5,21
egg,0.4,4.8,72
extract,0.5,0,12
fish,0,4.5,218
flour,95,1.2,455
food coloring,0,0,0
garlic,1,0,4.5
ginger,0.4,0,1.6
ketchup,4.7,0,17
lemongrass,17,0.3,66
lettuce,3.1,0.3,16
lime,7.1,0.1,20
milk,12,4.8,122
mushroom,0.6,0.1,3.4
mustard,0.3,0.2,3
noodles,38,1.2,196
oil,0,14,124
onion,9.5,0.2,41
pepper,1.5,0.1,5.8
salt,0,0,0
shrimp,0.1,0.1,6
soy sauce,0.8,0.1,8.5
sugar,4.2,0,16
tomato,4.8,0.3,22
water,0,0,0
worcestershire sauce,3.3,0,13
1Q,0,0,4
3Q,5,2,110
